question_num,question,option_a,option_b,option_c,option_d,correct_answer
11,Що НЕ є підставою для анулювання реєстраційного свідоцтва політичної партії?,Виявлення протягом трьох років з дня реєстрації політичної партії недостовірних відомостей у поданих на реєстрацію документах;,Невисування політичною партією своїх кандидатів по виборах Президента України та виборах народних депутатів України протягом десяти років;,"Діяльність політичної партії, спрямована на порушення суверенітету і територіальної цілісності України, посягання на права і свободи людини; Не забезпечення політичною партією протягом шести місяців з дня","реєстрації утворення та реєстрацію своїх обласних організацій у більшості областей України, містах Києві, Севастополі та в Автономній Республіці Крим.","Діяльність політичної партії, спрямована на порушення суверенітету і територіальної цілісності України, посягання на права і свободи людини; Не забезпечення політичною партією протягом шести місяців з дня"
12,Обласна рада простою більшістю голосів депутатів висловила недовіру голові обласної державної адміністрації. Якими є наслідки такого рішення обласної державної адміністрації?,Президент приймає рішення про відставку або залишення на посаді голови обласної державної адміністраціїі дає раді обґрунтовану відповідь,Президент України доручає Кабінету Міністрів України провести перевірку діяльності голови обласної державної адміністрації,Кабінет Міністрів України вносить подання Президенту України про усунення голови обласної державної адміністрації з посади,Президент України приймає рішення про відставку голови обласної державної адміністрації,Президент приймає рішення про відставку або залишення на посаді голови обласної державної адміністраціїі дає раді обґрунтовану відповідь
13,Що НЕ є підставою для дострокового припинення повноважень Кабінету Міністрів України?,Відставка Прем’єр-Міністра за поданою ним заявою.,Обрання нового парламенту.,Відставка Кабінету Міністрів у зв’язку з прийняттям Верховною Радою України резолюції недовіри.,Відставка більшості членів Кабінету Міністрів України за поданими ними заявами.,Відставка більшості членів Кабінету Міністрів України за поданими ними заявами.
14,Який або які органи Конституційного Суду України відкривають провадження у справі за конституційним зверненням?,Колегія або Велика палата суддів Конституційного Суду України,Колегія або Сенат Конституційного Суду України,Колегія або Секретаріат Конституційного Суду України,Виключно Колегія суддів Конституційного Суду України,Колегія або Велика палата суддів Конституційного Суду України
15,З якою діяльністю може поєднувати перебування на своїй посаді сільський голова?,Адвокатська практика в рамках надання безоплатної правової допомоги,Керівництво профспілковою організацією на громадських засадах,Членство у сімейному фермерському господарстві,Оплачувана медична практика,Оплачувана медична практика
16,Яке з перерахованих прав людини може бути тимчасово обмежене в умовах воєнного або надзвичайного стану?,"Право особисто звертатися до органів державної влади, органів місцевого самоврядування.","Право збиратися мирно, без зброї і проводити збори, мітинги, походи і демонстрації.",Право на свободу та особисту недоторканність.,Право на повагу до гідності.,"Право збиратися мирно, без зброї і проводити збори, мітинги, походи і демонстрації."
17,У якому випадку Колегія Конституційного Суду України має постановити ухвалу про відмову у відкритті конституційного провадження за конституційною скаргою? До Конституційного Суду України звернувся громадянин Республіки,"Польща з конституційною скаргою щодо відповідності Конституції України положень Закону України «Про судовий збір», застосованого в остаточному судовому рішенні в його справі;","До Конституційного Суду України звернулася громадянка України з конституційною скаргою щодо офіційного тлумачення положень частин першої, другої, дев’ятої статті 129 Конституції України; До Конституційного Суду України звернулося Товариство з","обмеженою відповідальністю з конституційною скаргою щодо визнання неконституційними положень частини першої статті 601 Цивільного кодексу України, застосованих у остаточному судовому рішенні у його справі; До Конституційного Суду України звернулась особа без громадянства","з конституційною скаргою щодо визнання неконституційними положень Закону України «Про оренду державного та комунального майна», застосованого в остаточному судовому рішенні в її справі.","До Конституційного Суду України звернулася громадянка України з конституційною скаргою щодо офіційного тлумачення положень частин першої, другої, дев’ятої статті 129 Конституції України; До Конституційного Суду України звернулося Товариство з"
18,"Який принцип адміністративної процедури визначається через визначення обовʼязку адміністративного органу встановлювати, насамперед обставини, що мать значення для вирішення справи?",Безсторонності.,Офіційності.,Пропорційность.,Обґрунтованості.,Офіційності.
19,27.09.2025 року до Приморського районного суду міста Одеси надійшов матеріал про притягнення до адміністративної відповідальності громадянина В. за ч.1 ст. 162 КУпАП (стаття 162. порушення правил про валютні операції). Згідно протоколу ГП 763922 від 11.08.2025 року громадянин В. вчинив адміністративне правопорушення 11.08.2025 року. Справа призначена судом до розгляду на 29.11.2025 року. Які дії повинен вчинити суд?,"звільнити громадянина В. від адміністративної відповідальності і обмежитись усним зауваженням накласти адміністративне стягнення, нижче від найнижчої межі,","встановленої в санкції ст. 160 КУпАП, або перейти до іншого, більш м'якого виду адміністративного стягнення, не зазначеного в санкції ст. 160 КУпАП",визнати громадянина В. винним у вчиненні адміністративного правопорушення та звільнити його від накладення адміністративного стягнення,закрити провадження в справі про адміністративне правопорушення,закрити провадження в справі про адміністративне правопорушення
20,Що із зазначеного може бути віднесено до адміністративних1 актів?,"проміжні рішення суб'єкта публічної адміністрації, що не мають кінцевого регулюючого впливу","офіційні документи, які засвідчують певні факти та не викликають юридичних наслідків","акти-дії суб'єктів публічної адміністрації, що не тягнуть настання юридичних наслідків, маючи лише фактичний результат","акти суб'єктів публічної адміністрації, що не мають письмової форми","акти суб'єктів публічної адміністрації, що не мають письмової форми"
21,"Громадянин О. звернувся до адміністративного суду із позовом про визнання протиправним рішення суб'єкта владних повноважень та його скасування з порушенням строку звернення. До позовної заяви О. додав заяву про поновлення зазначеного строку та докази поважності причин його пропуску. Яку ухвалу має постановити суд, якщо визнає причини пропуску неповажними?",Про залишення позовної заяви без руху.,Про повернення позовної заяви.,Про відмову у відкритті провадження у справі.,Про залишення позовної заяви без розгляду.,Про залишення позовної заяви без руху.
22,"Який вид джерел адміністративного права становлять акти, що не мають обов’язкової юридичної сили та характеризуються як «м’яке право»?","національні джерела, включаючи акти центральних органів виконавчої влади","міжнародні джерела, наприклад акти міжнародних організацій","судові джерела, зокрема практика Європейського суду з прав людини","неформалізовані джерела адміністративного права, зокрема правова доктрина","міжнародні джерела, наприклад акти міжнародних організацій"
23,"А., будучи військовослужбовцем Державної прикордонної служби України, створив дослідницьку лабораторію і систематично здійснював наукові дослідження та експериментальні розробки, завдяки чому отримував постійний прибуток. ЧИ ДОПУСТИВ А. ПОРУШЕННЯ встановлених законом обмежень щодо сумісництва та суміщення з іншими видами діяльності?","Ні, оскільки названі обмеження не поширюються на військовослужбовців","Ні, оскільки наукова діяльність є дозволеним видом суміщення та сумісництва","Так, оскільки наукова діяльність не віднесена до дозволених видів суміщення та сумісництва","Так, оскільки в описаній ситуації наявні ознаки підприємницької діяльності","Так, оскільки в описаній ситуації наявні ознаки підприємницької діяльності"
24,Підприємець подав заяву про виділення земельної ділянки під будівництво відпочинкового закладу до міської ради. Поряд із земельною ділянкою знаходиться земельна ділянка Реабілітаційного центру для диких тварин екологічного громадського обʼєднання. Працівники реабілітаційного центру вирішили не допустити майбутнього будівництва та виступили проти виділення земельної ділянки через побоювання шуму. Яким субʼєктом адміністративної процедури у даній ситуації с працівники реабілітаційного центру?,Заявники.,Зацікавлені особи.,Адресати.,Заінтересовані особи.,Заінтересовані особи.
25,Верховний Суд відкрив касаційне провадження в адміністративній справі за позовом ТОВ «Альфа» до органу публічної влади про визнання протиправним та скасування індивідуального акта; третя особа без самостійних вимог — ТОВ «Бета». Під час касаційного розгляду позивач подав заяву про відмову від позову та просив закрити провадження у справі.,"Ухвалу про відмову у прийнятті відмови від позову, оскільки відмова від позову можлива лише у суді першої інстанції.","Ухвалу про відмову у прийнятті відмови від позову, оскільки відмова від позову неможлива у справах, в яких беруть участь треті особи.","Ухвалу про прийняття відмови від позову, закриття провадження у справі та залишення в силі рішень судів першої та другої інстанції.","Ухвалу про прийняття відмови від позову, визнання нечинними рішень судів першої та другої інстанції, закриття провадження у справі.","Ухвалу про прийняття відмови від позову, визнання нечинними рішень судів першої та другої інстанції, закриття провадження у справі."
26,На яких посадах і за яких умов можуть бути залишені посадові особи місцевого самоврядування після досягнення ними граничного віку перебування на службі в органах місцевого самоврядування?,"На посадах радників чи консультантів (патронатна служба), за умови, якщо такі посади передбачені штатним розписом, але не більше пʼяти років.","На посадах радників чи консультантів (патронатна служба) за рішенням відповідного голови, за умови роботи виключно як позаштатні працівники.","На будь-яких посадах, за рішенням відповідного голови, за умови, якщо так посади передбачені штатним розписом.","На посадах радників чи консультантів (патронатна служба), якщо такі посади передбачені штатним розписом, на умовах строкового трудового договору. Про службу в органах м/c","На посадах радників чи консультантів (патронатна служба), якщо такі посади передбачені штатним розписом, на умовах строкового трудового договору. Про службу в органах м/c"
27,"Коли здійснюється обовʼязкова антикорупційна експертиза нормативно-правових актів, які підлягають державній реєстрації?",Після отримання дозволу на проведення реєстрації актів.,Під час здійснення державної реєстрації.,До проведення державної реєстрації актів.,Після проведення державної реєстраці актів.,Під час здійснення державної реєстрації.
28,Що із наведеного є основним завданням державної інспекції?,Управління об’єктами державної власності.,Надання адміністративних послуг.,Здійснення державного нагляду (контролю).,Формування та реалізація державної політики в певній галузі.,Здійснення державного нагляду (контролю).
29,"Правила якої підсудності було порушено позивачем, який в інтересах неповнолітньої доньки звернувся до районного суду як адміністративного суду з позовом, у якому просив визнати протиправною відмову відповідача у видачі доньці паспорта громадянина України у вигляді книжечки, зобовʼязати відповідача оформити та видати паспорт громадянина України у формі книжечки?",Інстанційної,Виключної.,Територіальної.,Предметної.,Предметної.
30,До ознак якого інструменту публічного адміністрування належить неодноразовість застосування?,Індивідуальний акт.,Акти-дії.,Нормативно-правовий акт (нормативний акт).,Адміністративний акт.,Нормативно-правовий акт (нормативний акт).
31,До предметної підсудності якого суду належить позов Приватного підприємства до інспектора з паркування міської ради про скасування постанови про накладення адміністративного стягнення за правопорушення у сфері забезпечення безпеки дорожнього руху?,Окружного адміністративного суду.,Апеляційного адміністративного суду.,Місцевого загального суду як адміністративного.,Апеляційного загального суду.,Місцевого загального суду як адміністративного.
32,З дотриманням якого принципу здійснюється державна служба відповідно до Закону України «Про державну службу»?,Демократизму.,Гласності.,Стабільності.,Публічності.,Стабільності.
33,"Як відповідно до Закону України «Про звернення громадян» називається письмове звернення громадянина, у якому міститься повідомлення про порушення чинного законодавства, якщо воно було надіслане за допомогою електронної пошти?",Електронна петиція.,Скарга.,Запит на інформацію.,Заява.,Заява.
34,"Яку обставину субʼєкт, що накладає адміністративне стягнення1 за вчинення адміністративного правопорушення, може НЕ визнати обтяжуючою?",Вчинення правопорушення в умовах стихійного лиха.,Втягнення неповнолітнього в правопорушення.,Вчинення правопорушення групою осіб.,Вчинення правопорушення в стані спʼяніння.,Вчинення правопорушення в стані спʼяніння.
35,"Як називається застосування до договору про нерозголошення конфіденційної інформації, через відсутність спеціальних норм, що його регулюють, положень статей та 627 Цивільного кодексу України про свободу договору?",Аналогія закону.,Аналогія права.,Правова колізія.,Юридична фікція.,Аналогія права.
36,Хто належить до первинних субʼєктів суміжних прав?,Спадкоємець виконавця.,Організація мовлення.,Редакція друкованого медіа.,Продюсер аудіовізуального твору.,Організація мовлення.
37,В якому випадку використання імені фізичної особи без її згоди є правомірним відповідно до Цивільного кодексу України?,"Імʼям фізичної особи названо одного з персонажів художнього фільму, сценарій якого засновано на реальних подіях","Імʼя науковця зазначено у протоколі та на відеозаписі засідання вченої ради університету, в якому він працює",Імʼя фізичної особи потерпілого зазначено у репортажі з місця злочину,"Імʼя учасника цивільного спору, який стосується особистого життя сторін, висвітлено у дописі в соціальній мережі","Імʼя науковця зазначено у протоколі та на відеозаписі засідання вченої ради університету, в якому він працює"
38,За якої умови позовна давність НЕ поширюється на вимоги відшкодування шкоди?,Якщо предʼявленню позову перешкоджала надзвичайна або невідворотна за даних умов подія (непереборна сила).,Якщо шкоди завдано смертю фізичної особи внаслідок порушення правил дорожнього руху.,"Якщо зобовʼязана особа вчинила дії, що свідчать про визнання нею свого обовʼязку.","Якщо суд залишив без розгляду позов про відшкодування шкоди, предʼявлений у кримінальному провадженні.",Якщо шкоди завдано смертю фізичної особи внаслідок порушення правил дорожнього руху.
39,"У якому порядку відшкодовується шкода, завдана фізичній особі внаслідок її незаконного засудження?","відшкодовується державою у повному обсязі незалежно від вини посадових і службових осіб органу дізнання, попереднього (досудового) слідства, прокуратури або суду; відшкодовується державою у фіксованому розмірі (100 мінімальних","заробітних плат) за відсутності вини посадових і службових осіб органу дізнання, попереднього (досудового) слідства, прокуратури або суду;","відшкодовується державою при наявності вини посадових і службових осіб органу дізнання, попереднього (досудового) слідства, прокуратури або суду.",не відшкодовується;,"відшкодовується державою у повному обсязі незалежно від вини посадових і службових осіб органу дізнання, попереднього (досудового) слідства, прокуратури або суду; відшкодовується державою у фіксованому розмірі (100 мінімальних"
40,В якому випадку власник житлового будинку та земельної ділянки НЕ набуває права на компенсацію у зв’язку із зниженням цінності цих об’єктів?,зниження рівня шумової захищеності території;,погіршення природних властивостей землі;,зниження рівня екологічної захищеності території;,видання правового акта органом державної влади.,видання правового акта органом державної влади.
41,"А. і Б. є співвласниками в рівних частках чотирикімнатної квартири. А. зі своєю сім'єю займає три кімнати в цій квартирі. Б., керуючись тим, що його частка становить одну другу, звернувся до А. з вимогою звільнити одну з кімнат. А. відмовився задовольнити цю вимогу. Яким буде належний спосіб захисту прав А., НЕ пов'язаний із припиненням права спільної власності?",Установлення порядку володіння й користування квартирою.,Виділ частки в натурі.,Поділ квартири в натурі.,Усунення перешкод у володінні й користуванні квартирою.,Установлення порядку володіння й користування квартирою.
42,"У день виселення із готелю А. виявив відсутність фотоапарату. Через те, що поспішав до аеропорту, А. вирішив повідомити про це адміністрацію готелю після повернення додому. Повернувшись додому, А. звернувся до готелю «Б» із проханням повернути йому фотоапарат, будучи упевненим, що останній раз користувався ним у готелі, однак адміністрацією готелю йому було відмовлено. Чи правомірні дії адміністрації готелю?","Так, оскільки, зберігання речі (фотоапарату) не було прописано в умовах договору зберігання речей в готелі.","Ні, оскільки готель відповідає за схоронність речей, не залежно від того, протягом якого строку після виселення з готелю, особа предʼявила свої вимоги про втрачену річ.","Так, оскільки до закінчення строку проживання особа не предʼявила свої вимоги до готелю, тому вважається, що річ не була втрачена.","Ні, оскільки готель у будь-якому випадку несе відповідальність за втрату чи пошкодження речі, яка знаходилася в готелі.","Так, оскільки до закінчення строку проживання особа не предʼявила свої вимоги до готелю, тому вважається, що річ не була втрачена."
43,Громадянин Д. працює в Університеті на посаді доцента кафедри психології. У зв'язку з виконанням трудових обов'язків Д. підготував конспект лекцій із курсу «Основи психології» і передав його примірник керівництву Університету. Жодних договорів щодо прав на створювані у зв'язку з виконанням трудових обов'язків об'єкти між Д. і Університетом НЕ укладено. Кому належать права інтелектуальної власності на конспект лекцій?,"Особисті немайнові права належать Д., а майнові Д. і Університету спільно.","Особисті немайнові права належать Д., а майнові Університету.",Особисті немайнові і майнові права належать Д. як автору.,Особисті немайнові і майнові права належать Університету як роботодавцю. Про Про авторське право і суміжні права,"Особисті немайнові права належать Д., а майнові Університету."
44,"ОСОБА 1 уклала спадковий договір з ОСОБОЮ 2 щодо всього належного їй майна. Через пів року ОСОБА 1 склала заповіт на користь ОСОБИ 3, відповідно до якого після смерті ОСОБИ усе майно має перейти ОСОБІ 3.","ОСОБА 2, оскільки заповіт є нікчемним","ОСОБА 3, оскільки заповіт скасовує спадковий договір","ОСОБА 2, оскільки заповіт є фіктивним","ОСОБА 3, оскільки спадковий договір є недійсним","ОСОБА 2, оскільки заповіт є нікчемним"
45,"Наречені уклали письмовий договір дарування, за яким наречений взяв на себе обов’язок подарувати кольє з діамантами нареченій в день реєстрації шлюбу, однак до цього моменту підприємство нареченого збанкрутувало і понесені вже витрати на весілля не залишили в нього матеріальної можливості виконати обов’язок. Яке право виникає в дарувальника?",Відстрочити виконання обов’язку за договором.,Вимагати визнання договору недійсним в судовому порядку.,Відмовитись від договору.,Вимагати розірвання договору в судовому порядку.,Відмовитись від договору.
46,Що є предметом віндикаційного позову?,вимога позивача до відповідача про повернення майна з чужого незаконного володіння,"речі, визначені індивідуальними ознаками, які існують в натурі на момент подання позову;",вимога позивача про усунення з боку відповідача будь-яких перешкод у здійсненні ним права користування та розпоряджання своїм майном;,усунення триваючого правопорушення.,вимога позивача до відповідача про повернення майна з чужого незаконного володіння
47,"Які правові наслідки недодержання вимоги закону про нотаріальне посвідчення одностороннього правочину, якщо буде встановлено його відповідність справжній волі особи?","Правочин може бути визнаний дійсним в судовому порядку, якщо щодо цього відсутне заперечення іншої сторони правочину.","Правочин може бути визнаний дійсним в судовому порядку, якщо буде встановлено, що нотаріальному посвідченню перешкоджала обставина, яка не залежала від волі особи.","Правочин може бути визнаний дійсним в судовому порядку, якщо буде встановлено, що правочин повністю виконаний сторонами на момент звернення до суду.","Правочин може бути визнаний дійсним в судовому порядку, якщо буде встановлено, що нотаріальному посвідченню нічого не перешкоджає.","Правочин може бути визнаний дійсним в судовому порядку, якщо буде встановлено, що нотаріальному посвідченню перешкоджала обставина, яка не залежала від волі особи."
48,"Громадянин О. дізнався про відкриття спадщини через десять місяців після смерті свого батька. Вся спадщина перейшла до його брата, громадянина Д. З якою заявою може звернутися громадянин О. до суду для того, щоб здійснити своє право на спадкування?",Про визнання права на спадщину громадянина О.,Про розподіл спадщини між громадянином О. та громадянином Д.,Про продовження строку для прийняття спадщини громадянину О.,Про надання права на спадкування громадянину О.,Про продовження строку для прийняття спадщини громадянину О.
49,"Який із наведених спадкоємців вважається таким, що прийняв спадщину автоматично, без подання заяви про прийняття спадщини?","Племінник спадкодавця, який останнім часом постійно доглядав за спадкодавцем, фактично проживав разом з ним на час відкриття спадщини, але був зареєстрований в іншому місці.","Батько спадкодавця, 85 років, особа з інвалідністю III групи.","Донька спадкодавця, 16 років, не проживала зі спадкодавцем на час відкриття спадщини та зареєстрована в іншому місці.","Дружина спадкодавця, особа з інвалідністю І групи, не проживала спадкодавцем та була зареєстрована в іншому місці.","Донька спадкодавця, 16 років, не проживала зі спадкодавцем на час відкриття спадщини та зареєстрована в іншому місці."
50,"Дідусь 14-річного Олександра уклав договір банківського вкладу та вніс на його імʼя гроші. Вклад у повному розмірі було знято Олександрою через рік, а договір автоматично був припинений. Яке положення правильно характеризує наведену ситуацію, зважаючи на приписи норм Цивільного Кодексу України щодо обсягу дієздатності?",Вчинення таких дій повністю відповідає обсягу цивільної дієздатності Олександра.,"Зняття грошових коштів стало можливим лише тому, що на це був дозвіл дідуся.","Зняття грошей стало можливим лише тому, що на це була згода батьків Олександра.","Зняття грошей стало можливим тому, що була згода органу опіки та піклування та батьків Олександра.","Зняття грошей стало можливим тому, що була згода органу опіки та піклування та батьків Олександра."
51,Між магазином та постачальником було укладено договір купівлі-продажу з відстроченням платежу. Сторони домовилися про заміну договору купівлі-продажу на позикове зобов’язання. Чи допустимий варіант обрали сторони для припинення зобов’язання за таких обставин та чому?,"Ні, це застосування цесії","Так, це використання новації","Так, має місце процедура санації","Ні, має місце реструктуризація боргу","Так, це використання новації"
52,"Для цього різновиду юридичної особи нормами Цивільного кодексу України дозволяється перетворення лише у три організаційно-правові форми: акціонерне товариство, товариство з обмеженою відповідальністю, товариство з додатковою відповідальністю. Що це за юридична особа?",Державне підприємство,Державна установа,Комунальне підприємство,Комунальна установа За 2 дні до судового засідання позивач подав до місцевого суду заяву про відвід судді. Який склад суду має розглянути,Державна установа
53,За 2 дні до судового засідання позивач подав до місцевого суду заяву про відвід судді. Який склад суду має розглянути цю заяву?,"Суддя, який розглядає справу","Суддя, який не входить до складу суду, що розглядає справу","Суд відповідної інстанції, найбільш територіально наближений до цього суду",Суд апеляційної інстанції,"Суддя, який розглядає справу"
54,Н. звернувся до суду із заявою про встановлення факту родинних відносин між ним та спадкодавцем з метою реалізації права на спадщину. Під час розгляду справи суд встановив виникнення спору про право на спадщину між заявником та заінтересованими особами. Якими мають бути дії суду?,Суд продовжує розгляд справи по суті в межах встановлення факту родинних відносин,"Суд закриває провадження у справі і роз’яснює заінтересованим особам, що вони мають право подати позов на загальних підставах",Суд залишає право подати позов на загальних підставах,"Суд залишає заяву без розгляду і роз’яснює заінтересованим особам, що вони мають право подати позов на загальних підставах","Суд залишає заяву без розгляду і роз’яснює заінтересованим особам, що вони мають право подати позов на загальних підставах"
55,В якому випадку у разі видачі судового наказу боржник може1 звернутися до суду першої інстанції?,"Про перерахунок нарахованої, але не виплаченої працівникові суми заробітної плати",Про зменшення суми заборгованості за оплату електронних комунікаційних послуг,Про зменшення суми розміру аліментів,"Про збільшення суми вартості товару неналежної якості, що підлягає поверненню",Про зменшення суми розміру аліментів
56,Які процесуально-правові наслідки може мати НЕвнесення позивачем у визначений судом строк коштів для забезпечення судових витрат відповідача?,закриття провадження у справі;,залишення позову без розгляду;,відмову у відшкодуванні судових витрат позивача повністю;,відмову в задоволенні позовних вимог.,залишення позову без розгляду;
57,Яка процесуальна дія спричиняє неможливість повторного звернення до суду з тотожним позовом?,закриття провадження у справі;,залишення позову без розгляду;,повернення позовної заяви;,жодна процесуальна дія не може бути перешкодою для повторного звернення до суду з тотожним позовом.,закриття провадження у справі;
58,"У справі про відшкодування майнової та моральної шкоди за наслідками розгляду справи у загальному позовному провадженні суд ухвалив рішення про часткове задоволення позовних вимог. В судовому засіданні було проголошено лише вступну та резолютивну частину, відповідно до якої суд задовольнив позовну вимогу про відшкодування майнової шкоди, а вимогу про відшкодування моральної шкоди залишив без розгляду. Суддя повідомив, що з повним текстом рішення сторони можуть ознайомитись через десять днів. Чи припустився суд помилки?","так, оскільки повний текст рішення має бути складений не пізніше ніж за п’ять днів;","так, оскільки рішення призначене для вирішення справи по суті та ним не може бути вирішене питання про залишення позовної вимоги без розгляду;","так, оскільки рішення про відшкодування майнової та моральної шкоди підлягають негайному виконанню, а тому суд одразу зобов’язаний був проголосити повний текст рішення;","ні, суд не припустився жодної помилки.","так, оскільки рішення призначене для вирішення справи по суті та ним не може бути вирішене питання про залишення позовної вимоги без розгляду;"
59,У якому з наведених випадків суддя відмовляє у видачі судового наказу?,"У заяві про видачу судового наказу містяться вимоги, частина з яких не підлягає розгляду в порядку наказного провадження, і ці вимоги не є взаємопов'язані.","З моменту виникнення права вимоги пройшов строк, який перевищує позовну давність, установлену законом для такої вимоги.",Заявник відкликав заяву про видачу судового наказу до її розгляду судом.,Судом раніше відмовлено у видачі судового наказу з підстави порушення вимог щодо форми й змісту заяви про видачу судового наказу.,"З моменту виникнення права вимоги пройшов строк, який перевищує позовну давність, установлену законом для такої вимоги."
60,Яка з наведених категорій справ НЕ може бути розглянута в порядку спрощеного позовного провадження?,"справи, що виникають з трудових відносин",справи щодо спадкування,справи щодо визнання права власності на земельну ділянку,справи про стягнення аліментів,справи щодо спадкування
61,"Який процесуальний документ постановляє суд у випадку подання зустрічного позову у справі, яка розглядається за правилами спрощеного позовного провадження?",ухвалу про залишення позовної заяви без розгляду,ухвалу про перехід до розгляду справи за правилами загального позовного провадження,ухвалу про закриття провадження у справі,ухвалу про закриття підготовчого провадження та призначення справи до судового розгляду по суті,ухвалу про перехід до розгляду справи за правилами загального позовного провадження
62,"У провадженні Київського районного суду м. Одеси знаходиться справа про розірвання договору ренти. Після задоволення клопотання про відвід судді зʼясувалось, що новий склад суду для розгляду цієї справи утворити неможливо. Яким чином слід вирішити цю ситуацію?","Розпорядженням голови суду вирішити питання про передачу справи на розгляд іншого суду, найбільш територіально наближеного до цього суду.","Передати справу до суду вищої інстанції для визначення суду, який розглядатиме справу.","Постановити ухвалу про закриття провадження у справі та запропонувати учасникам звернутися з цим позовом до суду, найбільш територіально наближеного до цього суду.","Постановити ухвалу про передачу справи на розгляд іншого суду, найбільш територіально наближеного до цього суду.","Розпорядженням голови суду вирішити питання про передачу справи на розгляд іншого суду, найбільш територіально наближеного до цього суду."
63,"За позовом К. до І. щодо зняття з реєстрації місця проживання та виселення Дарницьким районним судом міста Києва відкрито провадження в справі. До закінчення підготовчого провадження до суду надійшло клопотання відповідача І. про залучення до участі в справі як співвідповідача Д. Своє клопотання відповідач обґрунтував тим, що предметом спору є спільні права І. та Д. Яким має бути судове рішення?",Постановити ухвалу про задоволення клопотання про залучення до участі в справі співвідповідача Д.,Постановити ухвалу про залишення без руху клопотання про залучення до участі в справі співвідповідача Д.,"Постановити ухвалу про залучення до участі в справі Д. як третьої особи, яка заявляє самостійні вимоги щодо предмета спору.",Постановити ухвалу про відмову в задоволенні клопотання про залучення до участі в справі співвідповідача Д.,Постановити ухвалу про відмову в задоволенні клопотання про залучення до участі в справі співвідповідача Д.
